,Unnamed: 0,Proud,Participantsex,Levelofeducation,Ashamed,Skilful,Envious,Desprecio,Goodnatured,Inspired,Uneasy,Hateful,Leadersex,Jealous,Frustrated,Maritalstatus,Warm,Capable,Competent,Resentful,Wellintentioned,Assessmentleader,Simpaty,Friendly,Molestia,Disgusted,Pity,Intelligent,Admiring,Age,Respectful,Confident,Trustworthy,Replacementleader,Typeofcompany,Angry,Responsaatribu,Sincere,Efficient,Group1(Competent),Group2(Friendly),Group3(Hateful),Group4(Admiring),Group5(Jealous),Group6(Uneasy)
375,377,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,3,1,4,1,1,1,1,4,1,1,34,3,3,1,3,2,3,1,1,1,2.0,1.0,2.0,2.0,1.0,1.0
376,378,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,3,1,4,1,1,1,1,4,1,1,34,3,3,1,3,2,3,1,1,1,2.0,1.0,2.0,2.0,1.0,1.0
377,379,2,1,2,1,4,1,1,3,2,2,1,1,1,2,2,1,3,3,1,2,4,2,4,2,2,1,4,3,39,3,3,2,2,2,2,3,2,3,3.0,2.0,2.0,2.0,1.0,2.0
378,380,2,1,3,2,4,2,2,3,3,2,1,1,2,1,1,3,4,4,2,4,6,2,2,2,2,1,4,4,28,3,4,4,3,2,1,5,2,5,4.0,3.0,2.0,3.0,2.0,2.0
379,381,1,2,4,1,6,1,2,1,1,1,1,1,1,1,1,1,5,4,1,1,6,1,1,2,2,1,3,2,47,2,4,1,1,2,3,6,1,6,5.0,1.0,2.0,2.0,1.0,1.0
380,382,1,1,3,3,3,1,1,2,1,2,1,1,1,3,2,2,3,4,1,2,3,2,2,2,3,3,3,1,49,2,4,2,2,2,1,3,2,4,4.0,2.0,2.0,1.0,1.0,2.0
381,383,4,2,4,2,4,2,2,3,5,3,2,1,1,2,1,3,4,4,2,3,4,4,3,2,2,2,4,4,23,4,4,3,2,2,2,3,3,5,4.0,3.0,2.0,4.0,2.0,4.0
382,384,5,2,2,1,3,2,2,3,5,2,1,1,2,2,2,3,3,3,2,3,3,2,3,2,3,1,3,3,40,4,3,3,3,1,2,3,3,3,3.0,3.0,2.0,4.0,2.0,2.0
383,385,1,2,4,3,2,1,1,2,1,1,1,1,1,3,4,2,2,2,1,2,2,1,2,3,3,1,2,1,64,1,3,2,3,2,3,4,2,1,2.0,2.0,2.0,1.0,1.0,1.0
384,386,2,2,3,2,5,4,2,2,4,2,2,1,4,3,2,2,5,5,2,2,6,1,2,2,3,1,5,3,47,3,5,3,2,2,3,5,2,5,5.0,2.0,2.0,3.0,4.0,2.0
385,387,3,1,5,1,4,1,4,5,2,1,1,1,2,1,1,2,3,3,3,2,2,1,6,3,3,1,5,3,27,3,4,2,3,2,4,4,1,5,4.0,3.0,3.0,3.0,2.0,1.0
386,388,3,1,3,2,5,4,1,4,3,3,1,1,3,4,2,3,6,5,3,4,5,1,3,4,4,1,5,5,55,4,6,6,3,2,2,5,2,5,5.0,4.0,3.0,4.0,4.0,2.0
387,389,3,1,3,2,5,4,1,4,3,3,1,1,3,4,2,3,6,5,3,4,5,1,3,4,4,1,5,5,55,4,6,6,3,2,2,5,2,5,5.0,4.0,3.0,4.0,4.0,2.0
388,390,6,1,3,1,6,1,3,4,6,5,2,1,1,2,1,4,6,6,4,6,6,3,4,4,2,1,6,6,55,6,6,6,4,2,3,6,1,6,6.0,4.0,3.0,6.0,1.0,4.0
389,391,1,2,2,5,4,1,3,3,1,1,1,1,1,5,2,2,4,4,1,1,5,1,2,3,3,5,3,1,50,2,4,3,3,2,6,4,1,2,4.0,2.0,3.0,1.0,1.0,1.0
390,392,1,2,4,3,3,1,4,2,1,1,4,1,1,3,0,2,2,2,4,2,5,2,2,4,4,3,4,1,44,1,3,2,3,1,4,2,1,2,3.0,2.0,4.0,1.0,1.0,2.0
