,Proud,Participantsex,Levelofeducation,Ashamed,Skilful,Envious,Desprecio,Goodnatured,Inspired,Uneasy,Hateful,Leadersex,Jealous,Frustrated,Maritalstatus,Warm,Capable,Competent,Resentful,Wellintentioned,Assessmentleader,Simpaty,Friendly,Molestia,Disgusted,Pity,Intelligent,Admiring,Age,Respectful,Confident,Trustworthy,Replacementleader,Typeofcompany,Angry,Responsaatribu,Sincere,Efficient,Group1(Competent),Group2(Friendly),Group3(Hateful),Group4(Admiring),Group5(Jealous),Group6(Uneasy)
353,3,1,1,1,4,3,1,3,4,2,1,2,2,1,2,2,4,3,1,3,6,4,3,1,1,1,3,3,44,4,4,3,1,2,1,4,4,4,5,2,1,2,3,2
354,4,1,3,1,4,2,1,4,6,3,1,2,3,1,0,3,3,3,1,3,3,4,4,1,1,1,4,5,43,6,4,3,2,1,1,6,4,3,5,3,1,3,1,1
355,1,1,4,1,4,5,1,5,4,4,1,1,1,1,2,4,4,3,1,4,4,5,5,1,1,1,4,1,47,5,4,3,4,2,1,5,4,4,5,3,1,3,1,3
356,1,2,4,1,5,3,1,3,4,3,1,1,3,1,2,3,5,5,1,3,5,3,3,1,1,1,5,4,44,4,3,3,3,2,1,4,3,6,3,2,1,2,1,2
357,4,2,1,1,5,5,1,3,3,3,1,1,1,1,4,3,5,4,1,3,4,4,3,1,1,1,4,3,50,4,3,3,2,1,1,4,3,5,3,3,1,2,1,2
358,3,1,4,1,5,1,1,4,5,3,1,1,3,1,1,3,5,5,1,5,5,5,4,1,1,1,5,4,27,5,5,5,2,2,1,5,5,5,5,3,1,4,1,2
359,4,1,2,1,4,4,1,2,2,2,1,2,3,1,2,2,3,5,1,3,6,2,2,1,1,1,3,4,35,3,4,3,2,1,1,6,3,5,5,4,1,4,1,2
360,1,1,3,1,4,1,1,1,1,1,1,2,1,2,2,1,4,4,1,2,5,1,1,1,1,2,4,1,40,2,4,2,3,1,1,5,1,4,4,3,1,5,1,2
361,3,2,4,1,4,1,1,2,3,3,1,1,1,2,1,2,4,4,1,5,6,4,5,1,1,1,4,3,48,3,4,5,2,2,1,5,4,4,4,3,1,4,1,3
362,4,2,3,1,5,1,1,2,2,3,1,1,1,2,4,3,3,3,1,3,6,3,2,1,1,1,3,4,47,5,4,3,3,1,1,5,4,4,4,3,1,4,2,2
363,3,1,0,1,3,2,1,2,4,2,1,1,1,2,1,2,5,4,1,2,5,4,3,1,1,1,5,4,27,5,5,4,2,1,1,5,4,5,4,3,1,3,2,2
364,5,2,4,1,6,3,1,4,5,4,1,2,2,2,2,3,6,6,1,4,5,5,4,1,1,2,6,5,27,5,6,6,3,2,1,5,5,6,6,3,1,4,1,4
365,4,2,3,1,5,3,1,2,4,2,1,2,3,2,2,2,4,4,1,5,6,3,3,1,1,1,5,6,37,5,4,4,2,2,1,5,3,3,5,3,1,3,1,2
366,4,1,4,1,5,4,1,4,4,3,1,1,4,2,4,4,5,5,1,3,5,4,3,1,1,1,5,4,45,4,6,4,2,1,1,5,4,6,4,4,2,4,3,3
367,2,1,2,2,4,1,1,2,2,1,1,2,1,2,1,2,3,3,1,4,4,1,2,2,1,1,3,2,31,2,3,3,2,1,1,3,3,3,4,4,1,2,2,3
368,2,2,4,2,3,2,1,1,2,1,1,1,1,2,1,1,3,3,1,2,5,2,2,1,2,1,2,2,36,2,3,2,2,1,1,5,1,3,5,3,1,4,1,3
369,1,1,2,1,4,2,1,2,1,1,1,2,2,1,2,2,4,4,2,2,5,1,3,2,1,1,4,2,37,2,4,2,3,1,1,5,1,4,4,4,1,3,3,3
