,Leadersex,Intelligent,Trustworthy,Efficient,Skilful,Pity,Typeofcompany,Replacementleader,Disgusted,Responsaatribu,Proud,Hateful,Capable,Resentful,Wellintentioned,Inspired,Sincere,Frustrated,Simpaty,Respectful,Molestia,Assessmentleader,Confident,Friendly,Goodnatured,Participantsex,Envious,Uneasy,Angry,Levelofeducation,Ashamed,Desprecio,Age,Jealous,Warm,Admiring,Maritalstatus,Competent
457,2,5,5,6,6,1,2,2,1,5,5,1,6,1,4,4,4,1,2,5,1,6,6,3,3,1,1,2,1,4,1,1,47,1,3,6,4,6
458,2,5,5,6,6,1,2,2,1,5,5,1,6,1,4,4,4,1,2,5,1,6,6,3,3,1,1,2,1,0,1,1,47,1,3,6,0,6
459,2,3,4,4,4,1,2,2,1,5,5,1,3,1,4,4,3,1,5,5,1,6,4,4,3,2,1,4,1,0,1,1,36,1,3,5,0,5
460,2,3,4,4,4,1,2,2,1,5,5,1,3,1,4,4,3,1,5,5,1,6,4,4,3,2,1,4,1,3,1,1,36,1,3,5,0,5
461,2,5,4,4,5,1,1,4,1,4,5,1,5,1,5,5,2,1,1,5,1,5,5,5,4,1,1,3,1,4,1,1,35,1,4,5,1,5
462,2,5,5,5,5,1,2,2,1,5,5,1,5,1,4,4,3,1,3,5,1,6,5,5,3,2,1,4,1,4,1,1,53,1,4,5,1,5
463,2,5,5,5,5,1,2,2,1,5,5,1,5,1,4,4,3,1,3,5,1,6,5,5,3,2,1,4,1,4,1,1,53,1,4,5,1,5
464,2,5,5,6,6,1,2,1,1,6,4,1,5,1,5,5,5,1,5,5,1,5,5,5,5,1,1,5,1,1,1,1,51,1,4,4,4,5
465,2,5,5,5,5,1,2,3,1,5,5,1,5,1,5,5,4,1,4,5,1,6,5,5,5,2,1,5,1,4,1,1,35,1,5,5,2,5
466,2,5,5,5,5,1,2,1,1,6,5,1,5,1,5,5,5,1,5,5,1,6,5,5,5,1,1,5,1,4,1,1,42,1,5,5,4,5
467,2,5,6,5,5,1,2,3,1,6,5,1,5,1,6,5,5,1,5,6,1,5,5,4,4,1,1,5,1,2,1,1,24,1,3,5,1,4
468,2,4,6,3,4,1,2,1,1,6,6,1,3,1,4,6,6,1,4,6,1,6,4,3,4,1,1,3,1,4,1,1,37,1,4,6,2,4
469,2,6,6,6,6,1,2,2,1,6,5,1,6,1,6,6,5,1,6,6,1,6,6,6,6,2,1,6,1,4,1,1,34,1,6,6,2,6
470,2,4,3,4,4,1,2,1,1,4,1,1,3,1,3,2,3,1,2,3,1,4,4,3,3,2,2,1,1,4,1,1,35,1,3,3,2,3
471,2,3,5,5,5,1,2,3,1,5,1,1,2,1,2,1,2,1,2,5,1,6,2,1,1,1,2,1,1,3,1,1,37,1,2,4,2,3
472,2,3,5,5,5,1,2,3,1,5,1,1,2,1,2,1,2,1,2,5,1,6,2,1,1,1,2,1,1,3,1,1,37,1,2,4,2,3
473,2,5,3,5,5,1,2,2,1,5,3,1,5,1,3,3,3,1,2,3,1,5,5,2,2,2,1,2,1,4,1,1,40,2,2,3,1,5
474,2,5,4,5,5,1,2,3,1,5,1,1,5,1,4,3,3,1,3,5,1,6,5,3,3,1,2,3,1,1,1,1,37,1,3,4,2,4
475,2,4,4,4,3,1,2,2,1,4,3,1,3,1,3,3,3,1,4,4,1,4,3,3,4,1,2,3,1,2,1,1,42,1,3,4,2,4
476,2,4,5,5,5,1,2,2,1,5,3,1,4,1,4,5,3,1,3,3,1,6,5,3,3,2,2,2,1,4,1,1,36,1,3,5,1,5
477,2,6,5,5,5,3,2,1,1,6,3,1,5,1,5,3,5,1,3,5,1,6,5,5,5,2,2,2,1,3,1,1,39,1,5,5,2,6
478,2,4,2,3,3,1,1,1,1,4,4,1,4,1,4,5,2,1,4,6,1,5,4,4,3,1,2,1,1,4,1,1,36,1,2,5,2,4
479,2,6,6,5,6,1,2,2,1,6,3,1,5,1,5,6,5,1,6,4,1,6,6,5,6,1,1,5,1,4,1,1,33,2,5,5,2,6
480,2,6,6,6,6,1,2,1,1,6,4,1,6,1,6,6,6,1,5,5,1,6,6,6,6,2,2,4,1,3,1,1,28,1,6,5,1,6
481,2,4,3,5,5,1,2,2,1,6,1,1,5,1,2,3,2,1,2,4,1,6,5,2,2,1,2,1,1,2,1,1,46,2,2,3,1,6
482,2,4,3,4,5,1,2,2,1,5,1,1,4,1,3,2,2,1,2,4,1,6,4,3,3,1,2,2,1,2,1,1,52,2,2,3,0,4
483,2,4,3,3,3,1,2,2,1,4,1,1,3,1,4,3,3,1,2,3,1,5,3,3,2,2,2,1,1,2,1,1,25,2,2,4,1,3
484,2,4,4,5,5,1,2,5,1,5,2,1,5,1,3,3,2,1,4,3,1,5,4,3,2,1,2,1,1,3,1,1,55,2,2,5,2,5
485,2,5,3,5,5,1,2,2,1,4,4,1,4,1,3,3,2,1,3,4,1,2,4,3,3,2,2,3,1,4,2,1,42,2,2,4,2,5
486,2,6,5,6,6,1,2,2,1,6,4,1,6,1,6,5,5,1,5,4,1,5,6,5,5,1,2,4,1,4,1,1,30,2,5,5,1,6
487,2,6,5,6,6,2,2,2,1,5,5,1,6,1,4,5,4,1,5,5,1,6,6,4,4,1,2,4,1,1,1,1,40,2,4,4,2,6
488,2,6,6,6,6,1,2,1,1,6,5,1,6,1,6,6,6,1,6,6,1,5,6,6,6,2,2,6,1,3,1,1,24,2,6,6,1,6
489,2,6,6,6,6,1,2,1,1,6,6,1,6,1,6,6,6,1,6,6,1,6,6,6,6,2,2,6,1,2,1,1,63,2,6,6,2,6
490,2,5,5,5,5,1,2,3,1,5,3,1,5,1,4,3,3,1,4,4,1,6,6,4,4,1,3,4,1,4,1,1,44,2,4,4,1,6
491,2,5,5,5,5,1,2,1,1,4,1,1,5,1,3,3,1,1,2,3,1,6,5,1,1,1,3,3,1,1,1,1,44,3,1,3,2,5
492,2,4,4,5,5,1,2,3,1,5,5,1,4,1,4,5,3,1,3,5,1,5,5,3,3,1,2,3,1,1,1,1,27,4,4,5,1,5
493,2,3,2,4,6,1,2,1,1,3,3,1,5,1,2,6,2,1,2,6,1,5,3,2,2,2,4,1,1,4,1,1,34,4,2,6,1,4
494,2,3,2,4,6,1,2,1,1,3,3,1,5,1,2,6,2,1,2,6,1,5,3,2,2,2,4,1,1,4,1,1,34,4,2,6,1,4
495,2,2,4,2,2,1,2,5,1,4,3,1,2,1,4,2,4,2,3,3,1,5,2,4,4,2,1,1,1,4,1,1,42,1,4,3,2,2
496,2,4,3,4,4,1,2,2,1,5,2,1,3,1,3,3,3,1,2,3,2,5,3,3,3,1,1,2,1,3,1,1,53,1,3,3,2,3
497,2,5,5,5,5,1,2,2,1,5,3,1,5,1,4,2,3,1,2,4,1,6,5,3,3,2,1,2,2,3,1,1,37,1,2,4,2,5
498,2,3,5,4,5,1,2,3,1,6,4,1,5,2,6,5,4,1,4,5,1,6,5,3,4,1,1,4,1,3,1,1,25,1,4,4,1,4
499,2,4,5,5,5,1,2,4,1,5,2,1,5,1,4,3,2,1,2,4,1,5,5,3,2,1,2,2,2,4,1,1,38,2,3,3,1,5
500,2,5,4,6,6,1,2,2,1,5,3,1,6,1,4,4,4,1,4,5,2,6,6,5,4,1,2,4,1,2,1,1,29,2,4,5,1,6
501,2,6,5,6,5,1,2,1,1,5,6,1,5,1,6,5,5,1,6,6,1,6,5,5,6,2,2,4,2,3,1,1,35,2,5,5,1,6
502,2,5,5,5,5,1,2,3,2,5,3,1,5,1,5,5,5,1,5,6,1,3,5,5,5,1,2,2,1,4,1,1,43,5,5,5,2,5
503,2,5,5,5,5,1,2,1,1,5,2,1,5,1,3,3,3,1,3,1,1,6,5,3,3,2,1,2,3,4,1,1,41,1,3,1,1,5
504,2,6,6,6,6,3,2,3,1,4,2,1,6,2,3,3,2,1,1,4,2,6,6,2,2,1,1,1,1,4,2,1,39,1,2,3,1,6
505,2,4,6,3,3,1,2,5,2,4,3,1,2,1,5,3,6,2,3,4,1,4,4,5,5,2,1,2,1,3,1,1,41,1,4,3,1,3
506,2,5,3,4,4,1,2,2,2,4,2,1,3,1,3,2,2,1,2,4,2,5,4,3,3,2,2,2,1,4,1,1,34,1,2,3,1,4
507,2,4,5,6,5,1,2,2,1,5,6,1,4,1,4,5,3,1,4,4,1,6,5,3,3,1,3,3,3,2,1,1,42,2,3,4,2,6
508,2,4,5,5,5,1,2,2,1,4,2,1,5,2,5,5,5,1,3,4,1,6,5,4,4,2,3,3,1,4,1,2,24,4,4,5,1,5
509,2,5,4,5,5,2,2,4,1,4,5,1,5,2,4,3,3,1,3,4,2,5,5,3,3,1,5,3,1,3,1,1,65,4,3,5,2,5
510,2,6,5,6,6,1,2,2,1,4,4,1,5,1,5,6,6,2,4,4,1,6,6,5,5,1,1,2,3,3,1,1,26,1,5,4,1,5
511,2,3,2,4,4,1,2,3,2,4,1,1,4,1,2,2,1,2,1,3,2,5,4,2,2,2,2,1,2,1,1,1,30,2,1,3,1,4
512,2,5,4,5,4,1,2,4,2,6,3,1,5,1,3,4,4,3,2,3,3,6,4,4,3,2,5,3,2,1,2,1,56,5,4,4,1,4
513,2,2,1,4,1,1,2,3,2,4,1,1,3,1,1,1,1,1,1,1,3,5,4,1,1,1,1,1,4,4,3,2,40,1,1,1,1,3
514,2,4,3,4,4,2,2,3,2,4,3,2,4,2,2,4,2,2,3,3,2,4,5,2,2,2,2,2,2,4,2,2,29,2,3,4,1,5
515,2,4,3,4,4,2,2,3,2,4,3,2,4,2,2,4,2,2,3,3,2,4,5,2,2,2,2,2,2,4,2,2,29,2,3,4,1,5
516,2,5,3,5,5,3,2,3,3,4,3,3,5,3,3,3,3,3,3,3,3,5,6,3,3,1,3,3,3,3,3,3,32,3,3,3,1,6
517,2,4,2,5,5,3,2,3,5,3,3,6,5,5,1,3,1,4,2,5,5,3,4,1,5,1,2,2,4,4,4,5,25,1,2,3,1,4
518,2,5,1,3,3,1,2,3,5,3,4,5,2,5,2,1,1,5,4,1,5,3,5,4,4,2,4,1,5,2,1,5,42,4,3,4,1,3
