Participantsex,Leadersex,Group,Typeofcompany,Maniexp1,Maniexp2,VARCOMPETENCE,VARWARMTH,VARADMIRATION,VARENVY,VARDISGUST,VARRECASSESSMENT,VARRECREPLACEMENTLEADER,VARRECRESPONSAATRIB,Assessmentleader,Responsaatribu,Replacementleader,Competent,Confident,Capable,Efficient,Intelligent,Skilful,Friendly,Wellintentioned,Trustworthy,Warm,Goodnatured,Sincere,Jealous,Envious,Admiring,Proud,Respectful,Inspired,Uneasy,Angry,Desprecio,Resentful,Molestia,Disgusted,Hateful,Frustrated,Ashamed,Pity,Simpaty,Maritalstatus,Age,Province,Nationality,Levelofeducation,Profession
2,1,1,1,6,5,5.33333333333333,3.66666666666667,3.6,1,1,1,5,1,6,6,2,5,5,5,5,6,6,3,4,5,3,3,4,1,1,5,3,5,3,2,1,1,1,1,1,1,1,1,1,3,1,44,Valladolid,española,4,educadora
2,1,1,1,6,5,5,4.66666666666667,3.6,1,1,2,5,1,5,6,2,5,5,5,5,5,5,5,5,5,4,4,5,1,1,5,3,4,4,2,1,1,1,1,1,1,1,1,1,2,2,39,Murcia,ESPAÑOLA,5,DIRECTORADERRHH
2,1,1,1,5,5,4,2,3.8,1,1,2,5,3,5,4,2,5,4,5,3,3,4,2,2,2,2,2,2,1,1,5,3,5,5,1,1,1,1,1,1,1,1,1,1,1,1,34,Madrid,Española,4,Finanzas
1,1,1,1,5,5,4.83333333333333,3,3.8,1,1,1,3,2,6,5,4,4,5,5,5,5,5,3,3,3,3,3,3,1,1,4,4,4,4,3,1,1,1,1,1,1,1,1,1,4,2,51,Valencia,Española,3,Administración
1,1,1,1,5,5,5.33333333333333,3.5,3.8,1,1,1,5,1,6,6,2,5,5,6,5,6,5,3,5,4,3,3,3,1,1,5,3,4,4,3,1,1,1,1,1,1,1,1,1,3,2,64,Valladolid,española,1,Soldador
1,1,1,1,5,5,3.83333333333333,4.16666666666667,3.8,1,1,2,4,1,5,6,3,4,5,4,4,3,3,4,6,5,3,3,4,1,1,4,5,4,3,3,1,1,1,1,1,1,1,1,1,5,1,47,Barcelona,España,4,BIOQUIMICOCLINICO
2,1,1,1,5,5,5.16666666666667,4.16666666666667,3.8,1,1,1,6,1,6,6,1,5,6,4,5,5,6,4,5,4,3,4,5,1,1,4,4,5,3,3,1,1,1,1,1,1,1,1,1,4,1,26,Alava,Española,2,
2,1,1,1,5,5,3.66666666666667,3.16666666666667,4,1,1,2,2,2,5,5,5,3,4,3,4,4,4,4,3,3,3,3,3,1,1,5,3,4,4,4,1,1,1,1,1,1,1,1,1,,2,40,Barcelona,ESPAÑOLA,4,
2,1,1,1,5,5,4,4,4,1,1,2,5,2,5,5,2,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,4,5,3,4,1,1,1,1,1,1,1,1,1,4,2,47,Alava,,1,TELEFONISTA-RECEPCIONISTA
1,1,1,1,4,5,4.33333333333333,5,4,1,1,4,2,5,3,2,5,3,4,5,4,5,5,4,5,5,5,5,6,1,1,4,2,5,5,4,1,1,1,1,1,1,1,1,1,5,1,26,Pontevedra,española,2,operario
2,1,1,1,4,5,5.5,3,4.2,1,1,1,6,1,6,6,1,6,5,5,5,6,6,3,4,5,2,2,2,1,1,5,4,5,4,3,1,1,1,1,1,1,1,1,1,4,2,46,Vizcaya,española,4,profesoradedibujo
1,1,1,1,6,6,5.66666666666667,3.66666666666667,4.2,1,1,1,6,1,6,6,1,5,6,6,6,5,6,3,3,5,3,3,5,1,1,5,4,5,4,3,1,1,1,1,1,1,1,1,1,4,2,40,Madrid,España,3,AuxiliarAdministrativo
2,1,1,1,4,4,4,3.83333333333333,4.2,1,1,1,6,2,6,5,1,4,4,4,4,4,4,4,4,4,3,4,4,1,1,5,5,5,3,3,1,1,1,1,1,1,1,1,1,3,2,43,Porfavorseleccionaprovincia,española,3,guardiacivil
2,1,1,1,6,4,4.33333333333333,4.16666666666667,4.2,1,1,2,4,2,5,5,3,5,5,3,5,3,5,4,4,5,4,4,4,1,1,5,5,5,3,3,1,1,1,1,1,1,1,1,1,5,2,32,Barcelona,ESPAÑOLA,4,GESTIÓNRRHH
2,1,1,1,4,4,4.66666666666667,3.5,5,1,1,2,4,2,5,5,3,5,5,4,5,4,5,3,4,5,3,3,3,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,4,2,42,Barcelona,ESPAÑOLA,4,RR.HH
2,1,1,1,3,4,3.66666666666667,2.75,1.4,1.5,1,1,6,2,6,5,1,4,4,3,4,3,4,,,4,2,2,3,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,26,Otraprovincia,Española,5,Traductora
2,1,1,1,5,4,4.83333333333333,2.5,2.2,1.5,1,3,3,3,4,4,4,4,5,5,5,5,5,3,3,3,2,2,2,1,2,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,2,41,Madrid,Española,2,Secretaria
2,1,1,1,5,4,6,2.83333333333333,2.4,1.5,1,1,4,1,6,6,3,6,6,6,6,6,6,2,4,4,2,2,3,2,1,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,23,Ceuta,Española,4,TrabajadoraSocial
1,1,1,1,5,5,4.16666666666667,2.33333333333333,2.6,1.5,1,1,4,2,6,5,3,3,4,4,5,5,4,2,2,2,2,3,3,1,2,3,2,3,3,2,1,1,1,1,1,1,1,1,1,2,1,29,LasPalmas,española,2,técnicodemantenimientoaeronaútico
2,1,1,1,6,6,3,3,2.6,1.5,1,1,4,2,6,5,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,3,3,3,2,2,1,1,1,1,1,1,1,1,1,3,2,41,Madrid,española,4,GESTORACULTURAL
1,1,1,1,4,5,3.83333333333333,3,2.8,1.5,1,2,4,3,5,4,3,4,4,4,4,3,4,3,3,3,3,3,3,2,1,3,3,3,3,2,1,1,1,1,1,1,1,1,1,3,2,42,Alava,Española,1,CONDUCTOR
1,1,1,1,5,5,5.33333333333333,2.83333333333333,3,1.5,1,1,4,2,6,5,3,5,5,6,6,5,5,3,4,3,3,3,1,1,2,3,1,4,4,3,1,1,1,1,1,1,1,1,1,3,1,31,Porfavorseleccionaprovincia,española,3,sanitario
2,1,1,1,4,5,3.5,3,3,1.5,1,2,4,2,5,5,3,3,4,4,4,3,3,3,4,3,2,2,4,1,2,4,3,3,3,2,1,1,1,1,1,1,1,1,1,2,2,29,Sevilla,Española,1,Peluquera
